ITEM NAME,MODEL CODE,KEY WORD,PART NO.,ITEM DESCRIPTION,HSN CODE,MAKE ,ITEM UNIT,IMAGE,PRICE,STOCK,ITEM WEIGHT,TAX,REMARK,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD (PT-100) SENSOR,APWS,"RESISTANCE TEMPERATURE DETECTOR,TEMPERATURE SENSOR,PT-100",,"MAKE: AAVAD
RTD SENSOR
TYPE: PT-100
MODEL : APWS
CONFIGURATION: SIMPLEX
NO. OF WIRE IN SIMPLEX:
TOTAL NO.OF WIRES:3
LENGTH:700 MM
OD: 6MM
MOC: SS 316
PROCESS CONNECTION: ADJUSTABLE
PROCESS CONNECTION SIZE :1/2"" NPT
PROTECTION HEAD: DIE CAST ALLUMINIUM WEATHERPROOF IP-65
HEAD CABLE ENTRY CONNECTION : ? ?ET
TEMPERATURE RANGE : -50 TO 400 øC",9026,AAVAD INSTRUMENT,NOS,,530,10,340 GRM,18%,STRAIGHT ,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD (PT-100) SENSOR,APWS,"RESISTANCE TEMPERATURE DETECTOR,TEMPERATURE SENSOR,PT-100",,"MAKE: AAVAD
RTD SENSOR
TYPE: PT-100
MODEL : APWS
CONFIGURATION: SIMPLEX
NO. OF WIRE IN SIMPLEX:
TOTAL NO.OF WIRES:3
LENGTH:500 MM
OD: 6MM
MOC: SS 316
PROCESS CONNECTION: ADJUSTABLE
PROCESS CONNECTION SIZE :1/2"" NPT
PROTECTION HEAD: DIE CAST ALLUMINIUM WEATHERPROOF IP-65
HEAD CABLE ENTRY CONNECTION : ? ?ET
TEMPERATURE RANGE : -50 TO 400 øC",9026,AAVAD INSTRUMENT,NOS,,570,10,340 GRM,18%,FLEXIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD (PT-100) SENSOR,APWS,"RESISTANCE TEMPERATURE DETECTOR,TEMPERATURE SENSOR,PT-100",,"MAKE: AAVAD
RTD SENSOR
TYPE: PT-100
MODEL : APWS
CONFIGURATION: SIMPLEX
NO. OF WIRE IN SIMPLEX:
TOTAL NO.OF WIRES:3
LENGTH:600 MM
OD: 6MM
MOC: SS 316
PROCESS CONNECTION: ADJUSTABLE
PROCESS CONNECTION SIZE :1/2"" NPT
PROTECTION HEAD: DIE CAST ALLUMINIUM WEATHERPROOF IP-65
HEAD CABLE ENTRY CONNECTION : ? ?ET
TEMPERATURE RANGE : -50 TO 400 øC",9026,AAVAD INSTRUMENT,NOS,,600,10,340 GRM,18%,MI,,,,,,,,,,,,,,,,,,,,,,,,,,
